"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029
Costa Rica;2108,75;1111,35;1071,935;1257,355;1421,164;1478,366;1611,323;1612,564;1598,038;1763,481;1880,75;2305,412;2684,089;2926,912;3110,155;3336,709;3277,614;3450,907;3653,154;3715,408;3941,14;4041,943;4122,829;4227,819;4483,59;4756,337;5309,271;6194,045;6993,896;6879,266;8268,859;9270,571;10107,452;10764,529;10853,638;11635,197;11986,918;12185,259;12428,924;12691,126;12163,927;12539,282;13239,876;16390,222;18030,977;19031,469;19903,189;20864,865;21876,331;22912,308
Croatia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;120,002;1590,588;3683,029;4637,509;4916,983;4832,443;5324,026;5179,026;5053,112;5363,399;6215,467;8191,829;9717,962;10452,38;11505,751;13764,592;15896,067;14406,811;13706,348;14651,806;13446,713;13978,833;14006,157;12098,452;12577,143;13585,885;15046,079;15122,974;14258,411;17821,244;18583,329;21347,327;22966,106;24111,468;25391,013;26633,582;27935,496;29259,664
Cyprus;4549,59;4352,502;4452,666;4399,223;4575,652;4824,674;6057,903;7188,216;8204,3;8635,765;10359,998;10413,726;12158,597;11342,407;12525,318;15396,919;15260,553;14324,09;15181,803;15379,994;14464,952;14905,024;16188,531;20389,337;23969,991;25527,252;27448,569;31774,426;36009,56;32650,09;31521,893;32910,616;29075,12;27671,485;27076,651;23507,588;24802,469;26834,797;29631,854;29626,37;28386,27;32926,615;32357,237;34956,733;37148,586;38664,883;40356,372;42157,386;43961,91;45757,884
Czech Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;5820,043;6529,042;6030,633;6484,201;6333,862;6015,067;6627,103;8056,318;9823,287;11751,897;13446,938;15284,674;18527,743;22925,748;19908,146;19983,577;21890,781;19880,902;20129,622;19915,381;17842,868;18553,304;20605,825;23380,772;23616,011;22984,459;26794,625;26835,823;30599,595;29800,665;30956,06;32303,459;33741,764;35285,909;36869,617
Côte d'Ivoire;1764,741;1429,982;1235,211;1060,684;1028,742;1010,216;1301,055;1377,855;1379,623;1268,839;1348,805;1260,371;1288,913;1161,76;848,957;1091,591;1171,414;1092,136;1134,494;1082,768;913,448;925,966;996,887;1198,538;1259,645;1262,108;1279,071;1421,758;1650,425;1607,992;1597,512;1602,649;1623,908;1843,024;2026,153;1846,22;1896,474;2000,09;2167,041;2173,778;2209,109;2478,224;2383,308;2572,145;2717,404;2854,081;3005,128;3157,044;3314,728;3484,257
Denmark;13886,37;12076,174;11801,273;11852,891;11561,767;12259,279;17215,426;21349,948;22528,114;21913,155;26920,581;27052,653;29622,474;27640,496;30050,878;35471,255;35732,689;32897,57;33426,974;33492,354;30798,717;30806,607;33275,556;40512,045;46571,283;48872,095;52121,249;58641,193;64531,119;58286,537;58177,162;61864,093;58623,414;61325,575;62729,499;53478,495;54862,848;57772,553;61724,492;59678,596;60926,877;69466,552;68131,892;68299,821;68897,547;71127,031;73789,087;76475,599;79283,332;82204,806
Djibouti;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1076,215;1070,407;1091,835;1058,462;1109,77;1109,097;1078,124;1068,48;1061,623;1084,925;1088,219;1106,677;1121,167;1160,467;1212,849;1271,217;1359,487;1478,419;1692,43;1722,341;1837,212;2038,56;2190,283;2314,559;2470,925;2652,513;2803,689;2926,153;3038,268;3172,748;3223,83;3378,403;3666,833;3906,67;4183,97;4464,705;4774,774;5084,772;5419,734;5717,972
Dominica;no data;1112,642;1217,573;1346,688;1495,272;1642,752;1864,889;2102,964;2377,904;2582,185;2819,552;3087,299;3287,848;3448,673;3713,105;3855,291;4104,42;4254,367;4526,684;4657,561;4681,178;4775,344;4680,264;4825,77;5165,218;5127,438;5497,251;5939,91;6463,44;6903,996;6980,957;7160,275;6994,866;7153,468;7388,583;7596,222;8089,25;7507,368;7981,044;8466,407;6872,22;7530,367;8196,917;8837,332;9455,158;10012,808;10495,588;10963,586;11451,69;11901,567
Dominican Republic;1534,317;1677,447;1545,099;1562,13;2397,598;1022,611;1212,354;1245,272;1113,835;1230,744;1123,244;1365,232;1573,686;1741,669;1916,439;2141,061;2309,916;2495,032;2658,543;2674,828;2894,303;3007,381;3158,393;2460,554;2540,849;4008,356;4188,715;4803,473;5194,799;5151,172;5688,751;6063,35;6274,865;6413,934;6805,662;7139,507;7521,268;7874,941;8340,961;8595,18;7553,509;8962,314;10711,156;11186,956;11773,566;12491,628;13259,277;14094,6;14985,791;15925,3
Ecuador;2006,939;1997,6;1939,217;1657,981;1717,538;1956,384;1399,04;1274,849;1181,566;1131,666;1122,668;1231,277;1316,54;1505,191;1778,393;1895,194;1949,51;2156,317;2160,746;1530,002;1398,962;1804,756;2066,227;2324,789;2597,054;2935,499;3271,898;3506,774;4224,414;4077,422;4539,721;5173,878;5652,677;6121,83;6408,86;5971,527;5909,192;6226,836;6313,598;6230,943;5474,697;6050,394;6474,762;6581,574;6566,926;6625,886;6761,125;6912,882;7086,597;7268,168
