"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029
Switzerland;19426,638;17699,844;18027,725;17865,396;17019,366;17187,864;24529,567;30520,621;32794,286;31440,365;39842,782;39811,005;40883,18;39375,507;43226,544;50290,894;48166,173;41625,286;42724,488;41762,292;38978,168;39829,568;42656,086;49516,64;54774,352;56383,878;59220,71;65366,908;74662,365;71894,922;76825,669;90944,046;86284,413;87873,59;89276,302;84231,634;82575,989;82588,943;85547,272;84474,293;86105,978;93707,186;93676,912;100413,067;105668,981;108602,544;113415,756;116978,372;122106,972;125914,284
Syria;1421,836;1763,344;1784,577;1849,427;1839,915;1965,139;2284,039;2823,157;1389,823;800,859;967,145;972,175;983,575;995,061;1060,707;1133,162;1186,162;1080,812;1028,169;1043,174;1202,891;1236,897;1305,087;1208,885;1361,499;1510,392;1726,028;2016,052;2557,211;2557,267;2806,685;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data
São Tomé and Príncipe;775,709;931,011;876,128;800,45;812,985;837,601;1142,825;1111,67;922,926;892,384;1050,252;920,765;788,501;1033,02;1058,931;820,593;1050,097;700,969;541,273;568,499;550,516;505,213;552,891;647,954;692,685;809,407;839,546;885,101;1125,875;1173,498;1090,263;1274,447;1262,796;1439,109;1545,253;1335,729;1470,016;1594,356;1851,025;1953,567;2181,87;2370,311;2413,087;2827,812;3167,295;3392,648;3460,34;3678,532;3905,489;4148,766
Taiwan Province of China;2366,797;2691,494;2675,311;2881,66;3202,615;3293,869;4008,134;5325,173;6338,1;7575,906;8167,2;9081,901;10715,536;11256,711;12099,746;13066,128;13588,306;13948,722;12767,078;13752,716;14844,238;13357,195;13651,355;14040,597;15290,307;16427,459;16892,883;17723,704;18053,591;16904,543;19181,358;20838,589;21256,361;21945,46;22844,316;22752,991;23070,733;25061,624;25825,566;25903,168;28571,44;33070,701;32609,595;32443,705;34431,965;36649,723;38602,152;40453,316;41836,924;43103,977
Tajikistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;52,622;121,645;147,923;100,448;183,374;192,58;222,282;177,712;159,417;167,035;187,958;236,394;308,844;337,129;401,586;519,025;702,445;666,024;738,287;834,52;949,648;1040,15;1105,197;919,073;800,645;844,595;852,341;893,318;858,445;925,135;1066,747;1183,908;1271,387;1362,682;1461,976;1567,952;1675,094;1790,111
Tanzania;602,924;699,181;778,244;772,741;682,028;596,872;732,197;350,129;324,721;271,496;211,031;237,573;213,148;190,679;195,663;221,366;266,49;307,987;370,188;370,918;380,08;377,469;382,287;401,068;428,911;459,755;491,351;551,847;683,547;700,567;739,903;774,979;867,852;970,271;1030,316;948,688;966,292;1003,776;1001,744;1043,939;1092,613;1137,865;1205,135;1254,229;1220,356;1282,112;1355,058;1446,146;1546,871;1654,152
Thailand;705,484;744,913;767,41;824,445;845,08;772,393;840,315;967,712;1160,538;1338,257;1564,175;1769,043;1999,204;2209,362;2491,433;2846,59;3043,982;2468,182;1845,829;2033,26;2007,735;1893,264;2096,189;2359,116;2660,126;2894,06;3369,545;3973,019;4379,659;4213,01;5076,339;5492,115;5860,583;6168,268;5951,877;5840,05;5993,308;6593,816;7298,941;7812,886;7169,943;7237,318;7072,755;7337,194;7811,598;8153,025;8608,04;9146,988;9639,942;10091,39
Timor-Leste;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;420,946;539,594;520,99;534,192;471,231;483,242;462,124;538,952;628,632;689,276;819,147;947,257;1031;1213,652;1233,58;1332,672;1358,283;1309,352;1264,501;1611,123;1676,769;2764,355;2406,607;1730,627;1453,668;1540,034;1627,065;1717,616;1813,636;1915,582
Togo;706,783;567,856;461,822;425,523;377,995;383,932;521,836;594,487;641,99;611,524;715,236;686,607;699,731;536,718;414,629;523,522;550,724;542,959;499,32;486,879;402,18;388,651;435,683;526,449;547,7;539,198;540,082;621,808;735,775;737,152;722,819;803,341;782,049;847,4;877,419;770,221;792,222;813,108;873,964;848,341;876,511;964,325;919,575;998,245;1058,319;1109,584;1163,317;1220,298;1280,209;1343,708
Tonga;770,303;850,554;843,209;818,461;854,275;802,926;959,286;1037,126;1213,22;1461,359;1498,504;1750,858;1832,835;1884,492;1948,137;2123,283;2228,293;2263,661;2153,245;1994,282;2045,81;1818,184;1828,634;2015,247;2288,897;2581,93;2865,259;2919,693;3360,507;3040,244;3561,484;4014,77;4581,885;4408,998;4325,614;4319,442;4178,289;4577,988;4784,368;5092,873;4887,486;4695,159;4977,965;5487,667;5840,151;6112,257;6311,946;6515,298;6748,674;6981,651
Trinidad and Tobago;5847,707;6454,418;7393,152;6939,437;6831,216;6411,214;4121,173;4085,591;3798,754;3625,717;4221,813;4392,869;4474,142;3743,583;4027,423;4322,255;4658,874;4632,813;4872,619;5479,934;6545,953;7046,379;7162,514;8931,032;10442,168;12471,953;14280,042;16765,857;21448,701;14777,395;16957,433;19300,833;20325,911;21208,309;21799,068;19722,777;17220,758;17369,342;17677,747;17043,863;14868,061;17412,427;21252,661;19801,012;19861,182;20562,165;20845,424;21289,364;21885,524;22476,591
Tunisia;1482,823;1390,414;1309,899;1322,84;1286,6;1271,845;1312,226;1382,408;1411,506;1386,015;1716,723;1769,744;2070,007;1903,681;1997;2261,968;2411,883;2318,983;2407,491;2505,878;2322,277;2365,245;2460,779;2897,197;3265,224;3350,785;3536,507;3963,791;4519,745;4333,153;4343,057;4471,694;4345,815;4419,705;4511,282;4060,695;3890,127;3656,508;3661,194;3556,377;3573,836;3884,708;3814,405;4191,62;4435,001;4492,333;4637,085;4686,354;4685,984;4702,122
Turkmenistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;395,233;2207,35;1822,091;2304,517;916,043;1016,002;1069,86;1424,366;1833,159;2502,842;3107,479;4038,502;4966,204;5943,36;7320,7;8780,474;7189,293;6670,904;6675,041;8284,783;9205,83;9147,926;9924,593;7794,133;7306,006;7690,915;8128,406;8611,769;8381,012;9608,222;12123,362;11833,107;12412,043;13329,488;14365,972;15517,968;16793,897;18202,607
Tuvalu;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1741,529;2075,674;2385,564;2348,707;2464,219;2865,977;3186,846;2759,034;3133,042;3777,342;3609,113;3615,373;3583,652;3396,69;3798,272;4255,25;4498,998;5046,827;4820,26;5571,914;5454,782;5722,541;6001,056;6300,646;6571,578;6896,939;7217,367;7542,866
Türkiye, Republic of;2133,685;2113,068;1876,637;1753,332;1668,464;1835,181;1983,05;2260,66;2333,225;2707,896;3738,161;3691,37;3818,769;4261,644;3026,717;3880,859;4099,228;4221,923;4384,471;4020,272;4237,961;3082,899;3617,23;4684,698;6015,665;7350,887;7961,078;9640,571;10778,131;8941,404;10533,45;11221,402;11637,915;12488,968;12079,287;10973,586;10891,19;10628,898;9514,047;9145,817;8612,903;9663,877;10621,965;12849;12764,707;12551,425;12942,701;13298,255;13656,204;14010,767
Uganda;664,574;1044,13;703,042;779,82;581,032;514,181;494,509;768,935;767,651;599,952;472,193;238,48;216,036;247,107;346,255;401,893;401,413;423,918;402,455;370,515;355,466;347,812;361,953;361,772;430,758;483,032;527,739;634,361;784,496;815,808;808,713;872,039;950,574;964,833;1008,018;848,69;828,167;838,495;879,044;951,517;919,434;1006,739;1082,31;1139,3;1201,968;1286,035;1350,667;1411,364;1491,849;1612,488
Ukraine;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;427,863;677,261;740,97;752,339;914,348;1037,893;874,265;664,99;664,376;784,864;885,315;1055,946;1374,656;1839,515;2319,286;3101,388;3944,724;2557,279;2982,814;3587,405;3874,152;4051,42;3119,576;2134,773;2200,851;2655,99;3118,908;3690,349;3781,633;4873,732;4582,609;5337,491;5662,948;5641,731;5773,993;5982,552;6303,601;6648,878
United Arab Emirates;41311,881;42237,276;36927,264;32717,479;29957,847;27912,523;21198,712;22345,786;19032,876;21142,453;27484,598;25577,028;25833,806;25033,005;25737,492;26309,298;29821,12;29909,645;26571,562;27833,669;34386,178;32621,364;32790,74;35017,316;39301,136;43983,848;44313,566;41466,918;39073,38;30920,369;36324,592;42986,879;45108,027;46207,448;47063,628;41422,602;40483,337;41971,753;45591,68;43981,605;37648,963;43438,523;52625,126;51908,699;53916,025;55781,488;58139,358;60895,294;64038,482;67538,607
United Kingdom;10734,896;10439,364;9936,331;9463,11;8951,397;9498,885;11555,907;14331,774;17388,88;17653,75;20913,04;21738,274;22394,494;20015,28;21460,02;23171,12;24432,614;26772,972;28283,064;28768,448;28337,638;27916,906;30127,493;34480,168;40410,653;42143,874;44589,681;50419,848;47884,16;38892,333;39641,869;42106,64;42501,709;43469,644;47468,211;44978,619;41114,514;40617,562;43275,096;42712,614;40245,884;46704,465;45730,102;49098,977;51074,793;53627,266;56759,134;59870,371;63279,415;66911,1
United States;12552,943;13948,701;14404,994;15513,679;17086,441;18199,32;19034,766;20000,968;21375,999;22814,077;23847,977;24302,776;25392,931;26364,192;27674,021;28671,48;29946,973;31440,087;32833,666;34496,241;36312,782;37101,453;37945,761;39405,354;41641,617;44034,256;46216,853;47943,353;48470,553;47102,428;48586,288;50008,108;51736,738;53363,904;55263,817;57006,926;58179,697;60292,978;63165,278;65504,783;64367,435;70995,794;77191,871;81632,253;85372,686;87978,472;90902,779;94011,701;97230,612;100579,865
Uruguay;4157,553;4608,557;3743,307;2041,642;1929,09;1873,063;2312,365;2876,92;2958,929;3101,177;3588,34;4299,367;4911,064;5683,683;6557,811;7207,021;7612,913;7959,731;8364,608;7847,88;7432,339;6803,597;4441,095;3941,678;4476,943;5663,499;6377,451;7622,824;9857,304;10232,122;12943,943;15341,308;16325,41;18271,525;18109,936;16791,911;16544,81;18626,981;18645,281;17686,109;15198,839;17149,709;19737,342;21656,979;23087,682;24044,448;25033,016;26088,201;27229,474;28431,828
Uzbekistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;209,573;315,613;366,873;561,752;754,528;772,325;773,322;868,991;702,209;587,633;481,995;499,329;585,221;689,391;811,157;1048,715;1324,54;1523,417;1777,487;2067,524;2284,525;2440,258;2651,384;2761,29;2712,808;1932,763;1618,967;1812,738;1776,267;2013,971;2301,214;2522,757;2665,812;2930,961;3219,907;3527,467;3865,305;4198,041
Vanuatu;1053,849;956,137;930,89;931,689;1111,403;976,747;918,675;989,126;1092,048;1054,904;1141,043;1333,385;1357,696;1277,011;1422,849;1479,565;1511,705;1537,62;1441,112;1435,664;1422,228;1317,091;1313,463;1542,059;1743,287;1824,505;1985,275;2308,554;2540,715;2519,625;2719,254;3007,564;2934,853;2940,193;2947,953;2771,657;2844,132;3158,901;3256,353;3187,38;3341,002;2951,692;3219,361;3501,24;3733,74;3919,608;4060,683;4201,47;4326,453;4455,154
Venezuela;4671,078;5085,58;5041,589;4883,234;3447,45;3472,186;3488,564;2619,24;3292,792;2378,158;2492,939;2685,293;2968,496;2876,077;2741,979;3559,77;3174,631;3778,537;3970,433;4133,37;4820,646;4963,916;3778,255;3266,095;4311,999;5421,656;6646,803;8538,102;11079,069;9557,55;11158,18;10934,275;12688,11;8692,955;7107,443;4096,971;3676,384;3806,656;3529,72;2624,411;1566,602;2090,398;3421,754;3659,195;3867,439;3968,917;no data;no data;no data;no data
Vietnam;652,593;318,521;414,347;612,565;1044,409;318,956;705,99;856,91;464,581;123,364;121,715;141,111;178,973;234,983;285,953;358,661;419,063;449,338;448,119;465,248;498,579;513,197;546,555;610,357;756,981;873,136;996,255;1152,267;1446,562;1481,442;1628,013;1949,826;2197,619;2369,973;2566,854;2581,907;2720,168;2957,899;3216,254;3439,102;3548,892;3756,885;4101,73;4324,049;4622,544;4977,119;5339,955;5722,016;6123,065;6542,783
West Bank and Gaza;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1227,237;1322,057;1296,081;1350,947;1416,578;1441,889;1412,75;1275,685;1102,5;1197,161;1350,906;1461,093;1480,704;1563,701;1913,316;2061,558;2406,261;2711,917;2888,598;3122,985;3158,599;3084,132;3325,846;3407,307;3353,225;3442,754;3044,744;3464,383;3579,222;3396,263;no data;no data;no data;no data;no data;no data
Yemen;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;963,773;1075,877;1268,268;1477,991;1835,045;807,991;396,847;405,612;364,22;427,779;526,881;521,697;551,194;591,218;677,899;796,361;881,275;970,82;1170,964;1061,415;1267,555;1303,586;1369,687;1519,342;1579,558;1508,382;1083,887;905,181;710,384;702,286;633,311;594,166;706,25;540,765;486,382;482,333;540,299;615,081;658,072;690,577
Zambia;764,919;764,864;715,135;598,533;477,314;439,344;293,871;353,589;578,18;597,885;542,462;475,448;452,218;431,614;431,567;437,482;404,235;471,141;377,518;353,893;364,026;379,713;399,099;452,287;556,05;720,204;1066,02;1133,672;1393,78;1151,193;1469,239;1644,13;1729,58;1840,665;1724,805;1307,536;1250,324;1495,751;1475,2;1268,125;958,265;1134,713;1454,826;1380,974;1413,421;1493,054;1573,374;1662,791;1756,875;1853,015
Zimbabwe;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1036,534;936,263;748,65;702,439;714,032;717,092;849,876;881,223;1029,202;1003,834;969,824;964,08;922,878;822,472;806,898;764,632;677,881;646,558;553,376;790,352;975,851;1131,675;1310,442;1421,696;1415,278;1425,466;1444,716;1527,052;2531,483;1746,523;1769,564;2324,772;1978,323;1993,038;2087,614;2103,128;2130,658;2156,633;2185,572;2210,142
Africa (Region);no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1094,057;981,862;954,129;928,958;887,086;1029,25;1121,055;1134,629;1120,331;906,406;906,734;857,648;854,792;1006,296;1176,031;1345,387;1515,1;1716,294;1955,993;1815,614;2067,679;2250,466;2337,482;2363,507;2391,937;2128,922;1973,461;1933,562;2015,229;2016,084;1899,52;2073,904;2177,571;2038,401;1955,933;1990,878;2075,111;2168,961;2265,931;2366,111
Asia and Pacific;968,193;1016,756;970,614;1013,247;1055,601;1056,152;1318,072;1535,384;1798,233;1836,174;1879,662;2038,655;2153,828;2388,334;2548,221;2852,441;2742,718;2601,024;2290,712;2511,387;2655,43;2446,515;2469,114;2722,986;3036,719;3245,696;3437,703;3885,872;4349,718;4424,078;5111,888;5824,069;6120,843;6149,935;6309,435;6197,782;6385,998;6778,448;7209,791;7330,237;7298,625;8286,063;8217,844;8325,162;8652,982;9160,892;9688,962;10224,944;10797,526;11360,894
Australia and New Zealand;10358,168;11667,5;11407,5;10824,031;11624,026;10289,215;10764,755;12699,915;15818,445;17356,338;17976,138;17623,375;17050,81;16630,249;18884,2;20249,046;22382,685;22217,161;19462,193;20695,594;19754,625;18524,877;20696,779;26147,773;31512,291;34755,366;35993,209;42980,037;46316,942;42898,823;52784,456;62524,272;63838,821;61537,063;58870,157;49334,848;49817,766;53636,197;54202,75;52414,686;51280,339;61767,581;62592,137;62491,265;63611,511;65480,332;67490,055;69423,419;71786,582;74420,954
Caribbean;1536,136;1647,266;1799,709;1768,766;1750,471;1761,73;1651,056;1529,699;1525,97;1609,884;1729,099;1697,793;1656,11;1683,513;1881,914;2250,943;2396,618;2552,376;2705,265;2843,186;2949,865;2939,07;3012,963;3078,124;3372,384;3770,672;4066,028;4540,611;5060,981;4396,94;4654,931;4986,546;5196,845;5274,816;5328,598;5168,492;4825,051;4965,286;5143,15;5047,838;4342,726;5166,979;6047,267;6347,631;6815,96;7079,603;7362,244;7496,786;7671,335;7870,616
Central America;1300,384;1258,892;1238,955;1262,488;1452,967;1218,009;1105,112;1147,912;1127,291;1233,059;1144,891;1295,33;1440,6;1554,384;1583,814;1727,107;1809,606;1934,184;2053,86;2041,856;2126,672;2202,449;2280,457;2195,589;2307,964;2719,48;2934,293;3287,848;3644,876;3585,592;3928,372;4344,372;4607,441;4816,599;5064,115;5346,81;5564,76;5810,798;5956,641;6099,975;5578,891;6272,943;6985,388;7594,224;8027,602;8431,37;8855,502;9309,224;9788,461;10289,93
Central Asia and the Caucasus;2133,685;2113,068;1876,637;1753,332;1668,464;1835,181;1983,05;2260,66;2333,225;2707,896;3738,161;no data;1909,923;2237,23;1669,182;2181,107;2337,964;2431,006;2521,917;2334,523;2450,549;no data;1987,581;2520,61;3221,673;3958,078;4481,196;5510,021;6279,347;5339,056;6291,707;6990,766;7317,728;7838,05;7611,97;6722,763;6297,523;6241,79;5793,484;5697,906;5342,121;5991,323;6770,216;9276,388;9483,776;9564,388;9929,567;10333,778;10726,903;11125,858
East Asia;1346,847;1429,027;1338,387;1440,666;1507,622;1556,529;2104,141;2505,55;3014,438;3061,337;3073,618;3449,667;3767,947;4268,424;4590,83;5148,959;4803,995;4519,661;4104,02;4576,908;4925,666;4537,436;4526,851;4907,489;5407,63;5683,568;5903,895;6489,532;7397,996;7726,821;8779,033;10077,523;10736,947;10775,243;11174,207;11209,243;11595,274;12256,851;13346,599;13620,267;13911,432;15867,386;15352,925;15253,702;15816,543;16827,838;17822,638;18804,615;19844,596;20814,809
Eastern Europe ;2063,921;2175,798;2332,853;2341,23;2241,265;2207,106;2267,738;2309,591;2727,925;no data;no data;no data;943,899;1439,763;1907,181;2358,989;2694,588;2762,466;2415,942;2103,327;2296,568;2613,325;2970,967;3643,928;4660,546;5725,188;6966,245;9032,715;11320,455;8866,57;10045,702;11916,364;12101,678;12670,678;11932,478;8997,236;8829,85;10321,556;11290,087;11614,746;10965,714;13146,858;14799,977;15163,843;15935,108;16488,697;17106,345;17744,572;18417,083;19110,076
Europe;9004,165;8072,973;7795,334;7575,402;7264,022;7500,972;10066,191;12335,492;13767,728;no data;no data;no data;13237,98;12162,659;13069,128;14818,545;15162,197;14206,824;14450,975;14359,743;13497,883;13730,656;15007,323;18203,289;21126,566;22340,906;24108,888;28053,075;30785,891;26978,052;27379,47;30089,318;28759,535;29913,955;30339,303;25988,756;25934,172;27559,523;29691,333;29277,765;28312,982;32460,867;32514,609;34663,46;36063,347;37357,366;38738,184;40098,707;41565,936;43039,769
Middle East (Region);5334,772;5676,273;5358,09;5273,878;5024,072;4869,306;4808,364;5633,989;5811,326;6415,507;7904,162;5420,052;3312,141;3528,843;3762,314;4131,044;4657,435;4898,637;4755,004;5423,821;6561,579;6112,801;4740,753;4544,909;5298,748;6307,64;7234,128;8352,707;10182,258;8835,416;10248,761;13312,692;12866,913;13049,085;13052,682;11069,491;10924,224;11546,306;11915,26;11363,795;9647,841;11544,293;13756,702;13366,092;13818,058;14286,095;14734,921;15227,258;15701,303;16243,639
North Africa;1623,809;1513,39;1524,124;1551,099;1562,927;1685,62;1698,076;1905,792;1949,168;2137,763;2137,96;1592,622;1588,413;1551,637;1513,237;1632,108;1777,56;1791,062;1810,659;1881,486;1948,492;1877,183;1707,256;1871,775;2081,764;2350,728;2673,078;3067,985;3715,867;3462,877;3853,96;4036,832;4512,816;4451,237;4446,148;4109,538;4008,74;3502,913;3648,276;3843,824;3810,578;4129,101;4506,026;4230,689;4121,117;4078,162;4331,052;4584,107;4842,397;5098,25
North America;10483,357;11723,778;11755,483;12435,646;13622,922;14408,215;14767,222;15578,156;16792,784;18005,159;18860,365;19327,753;20128,597;20967,889;21869,302;22120,169;23135,775;24398,054;25346,849;26732,824;28355,438;28964,359;29560,154;30700,311;32582,137;34695,188;36652,363;38241,552;38807,245;36909,334;38665,352;40145,213;41313,343;42475,975;43629,695;43876,868;44315,642;46045,654;48129,984;49697,005;48343,737;53747,833;58319,08;61643,81;64581,218;66620,647;68836,836;71172,498;73600,842;76128,001
Pacific Islands ;1417,746;1374,477;1282,722;1232,736;1162,073;1061,435;1134,678;1198,82;1485,684;1419,272;1320,79;1469,954;1582,619;1726,084;1870,653;1715,607;1791,004;1694,912;1310,201;1255,122;1194,288;1067,368;1047,874;1266,206;1431,981;1607,927;1739,291;1924,329;2201,713;2058,243;2343,028;2777,155;3052,022;3025,648;3202,609;2972,139;2858,311;3059,392;3170,377;3160,25;2921,814;2437,021;2830,387;2792,407;2828,969;2875,281;2919,235;2971,623;3032,557;3093,122
South America;2424,346;2379,989;1971,878;1809,8;1736,535;1878,804;2080,646;2165,589;2367,766;2545,984;2788,747;2830,15;2974,276;3156,988;3695,172;4547,541;4772,107;4996,406;4857,965;3870,347;4039,292;3660,069;2842,4;3025,435;3611,163;4558,934;5481,696;6743,611;8107,802;7719,331;9784,655;11354,218;11379,713;11237,315;10849,999;8772,921;8450,956;9500,649;8912,404;8418,421;6857,824;7923,387;9099,312;9839,656;10142,05;10399,68;10905,776;11437,362;11913,402;12403,073
South Asia;289,382;300,508;304,234;312,798;307,477;324,249;334,295;361,349;378,958;377,483;395,662;352,968;366,534;356,62;393,354;429,016;453,927;465,434;462,453;479,135;480,834;482,503;498,149;570,171;648,89;726,711;813,557;1005,655;1008,622;1084,076;1299,452;1409,702;1409,839;1429,16;1544,647;1596,693;1713,15;1929,645;1962,732;2008,625;1896,244;2197,408;2310,462;2382,403;2570,226;2784,868;3035,435;3312,69;3618,089;3953,142
Southeast Asia;776,974;767,274;799,039;803,125;893,281;747,622;759,641;804,429;821,404;855,189;950,35;1048,062;1169,871;1289,492;1449,369;1658,295;1808,332;1687,833;1027,739;1189,13;1251,24;1190,827;1310,752;1456,149;1625,034;1789,306;2115,835;2493,199;2865,393;2798,963;3417,444;3923,366;4112,471;4199,912;4194,18;4028,038;4173,628;4454,73;4728,341;4956,814;4674,696;5095,955;5440,677;5603,465;5947,54;6343,102;6747,305;7171,612;7623,119;8092,186
Sub-Saharan Africa (Region) ;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;852,812;841,802;810,461;788,397;746,759;894,565;975,504;990,288;969,724;695,384;684,184;641,875;676,138;826,601;989,957;1140,848;1281,749;1447;1608,566;1493,183;1721,114;1907,765;1923,247;1968,909;2006,411;1759,656;1597,01;1642,3;1714,842;1684,532;1555,831;1708,567;1768,572;1656,914;1582,722;1634,538;1693,791;1764,984;1839,364;1918,213
Western Europe;10528,103;9371,501;9003,261;8740,548;8387,034;8688,431;11819,482;14593,633;16250,419;16460,928;20306,938;21466,672;23236,006;21026,255;22243,875;25456,011;25871,138;24276,56;24985,141;24954,712;23114,716;23192,584;25140,505;30339,689;34723,315;35920,681;37996,407;43331,689;46284,677;41312,951;41016,418;44299,883;41730,04;43293,197;44561,629;39054,073;39018,466;40685,377;43630,353;42585,686;41312,449;46833,165;45394,99;48621,902;50253,555;52031,519;53903,568;55723,355;57670,109;59598,086
Western Hemisphere (Region);6705,786;7333,15;7166,423;7441,592;8025,056;8469,671;8711,536;9147,782;9841,907;10531,542;11063,699;11338,004;11805,652;12307,681;12920,895;13398,316;13976,96;14708,755;15124,847;15410,265;16302,092;16435,964;16384,773;17019,4;18212,102;19693,887;21077,436;22433,617;23314,639;22163,866;23918,237;25347,772;25958,604;26490,263;26915,816;26170,264;26252,261;27567,352;28382,4;28955,983;27565,306;30738,742;33565,692;35583,382;37213,582;38352,792;39682,128;41076,961;42493,185;43962,119
ASEAN-5;805,418;866,53;885,289;845,602;862,837;817,233;780,527;806,567;912,212;1023,486;1141,981;1256,296;1399,414;1538,094;1726,297;1967,975;2143,223;1988,208;1282,55;1496,914;1572,873;1487,217;1644,355;1821,319;2010,935;2199,532;2607,717;3073,993;3491,424;3387,573;4177,113;4742,895;4931,769;5000,84;4940,604;4715,673;4888,681;5213,756;5512,576;5771,094;5356,698;5902,583;6314,736;6486,187;6881,513;7328,213;7784,185;8261,6;8770,042;9296,677
Advanced economies;10310,762;10395,506;10253,218;10604,787;11026,999;11544,603;14015,837;16202,517;18183,67;18836,08;20966,882;22195,228;23442,608;23276,228;24837,37;26931,096;26949,116;26262,622;26204,013;27432,481;27733,375;27275,574;28276,732;31526,526;34768,939;36353,779;37985,119;41219,75;43256,825;40566,304;42149,552;45010,186;44637,732;44871,215;45706,675;43049,961;43991,364;45730,862;48191,472;48481,003;47475,96;52853,471;53561,814;56242,811;58257,659;60381,592;62615,514;64852,434;67227,237;69587,246
Emerging and Developing Asia;360,183;351,149;351,549;364,767;376,496;359,091;360,946;387,377;424,522;444,215;439,097;435,358;484,849;539,902;554,688;653,374;728,746;745,821;670,396;726,068;769,249;801,652;867,826;978,152;1121,381;1280,853;1506,05;1885,71;2246,247;2418,643;2884,795;3421,61;3731,9;4044,008;4327,459;4462,026;4544,5;4952,297;5416,791;5604,432;5634,04;6584,422;6691,991;6702,612;7062,17;7548,124;8044,617;8560,772;9109,438;9665,864
Emerging and Developing Europe;2089,093;2152,929;2164,789;2122,689;2026,148;2066,026;2158,702;2290,672;2573,753;no data;no data;no data;1370,787;1847,012;2020,172;2424,717;2733,466;2826,199;2511,155;2178,599;2408,776;2465,939;2805,078;3463,68;4482,196;5579,373;6667,756;8553,65;10519,106;8207,293;9568,49;11202,025;11543,387;12161,278;11421,4;8834,396;8636,058;9739,13;10148,574;10327,638;9674,216;11504,293;13060,57;13629,716;14183,923;14491,516;14989,163;15492,18;16012,947;16542,751
Emerging market and developing economies;886,226;910,267;844,151;813,349;798,695;792,767;795,614;859,389;929,313;995,298;1070,014;994,988;956,192;1069,95;1133,736;1279,545;1405,419;1467,729;1381,536;1319,095;1424,546;1411,281;1378,868;1528,459;1790,817;2110,952;2465,216;2994,555;3546,006;3342,959;3964,53;4626,537;4825,095;5049,51;5142,824;4769,938;4711,494;5091,514;5366,005;5416,986;5152,088;5982,119;6325,528;6432,22;6702,644;7030,2;7398,189;7779,984;8173,987;8573,892
Euro area;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;19403,709;21320,845;19289,703;20305,942;23907,717;24220,822;21702,671;22061,824;22046,821;20041,027;20285,207;22037,927;26997,512;30789,296;31756,198;33586,765;38528,124;42141,221;38321,31;37429,595;40426,865;37412,515;38951,526;39684,987;34212,486;34950,911;36938,929;39865,652;39013,861;37938,261;42587,458;41061,731;44462,961;45825,83;47322,259;48814,377;50248,635;51739,828;53184,2
European Union;8551,639;7525,546;7271,923;7090,117;6811,605;7000,013;9572,725;11705,067;12891,148;13071,482;15991,454;16961,556;18204,888;16315,753;17285,459;19552,676;19842,214;18201,04;18744,735;18628,006;17066,183;17303,547;18868,081;23119,13;26484,173;27544,483;29295,931;33836,592;37343,517;33722,595;33260,767;35928,191;33338,852;34762,968;35535,755;30698,19;31380,995;33313,472;36020,023;35289,8;34515,642;38949,72;37658,635;41129,053;42443,319;43947,213;45492,817;46993,161;48529,342;50041,316
Latin America and the Caribbean;2536,298;2684,736;2147,602;1908,459;1947,855;2052,065;1986,52;2075,082;2300,953;2537,702;2800,869;2969,507;3198,326;3547,895;3935,574;4144,077;4407,078;4751,492;4725,487;4187,39;4517,817;4350,561;3808,849;3820,08;4320,569;5177,677;5999,654;7025,198;8074,088;7364,895;9059,053;10350,268;10408,843;10426,828;10224,111;8573,09;8178,796;9018,768;8730,494;8469,845;7043,843;8140,639;9241,181;10291,151;10878,689;11242,058;11759,286;12286,797;12788,801;13301,689
